season,round_number,name,circuit_name,date
2025,1,Australian Grand Prix,Australia,2025-03-16
2025,2,Chinese Grand Prix,China,2025-03-23
2025,3,Japanese Grand Prix,Japan,2025-04-06
2025,4,Bahrain Grand Prix,Bahrain,2025-04-13
2025,5,Saudi Arabian Grand Prix,Saudi Arabia,2025-04-20
2025,6,Miami Grand Prix,Miami,2025-05-04
2025,7,Emilia Romagna Grand Prix,Emilia-Romagna,2025-05-18
2025,8,Monaco Grand Prix,Monaco,2025-05-25
2025,9,Spanish Grand Prix,Spain,2025-06-01
2025,10,Canadian Grand Prix,Canada,2025-06-15
2025,11,Austrian Grand Prix,Austria,2025-06-29
2025,12,British Grand Prix,Great Britain,2025-07-06
2025,13,Belgian Grand Prix,Belgium,2025-07-27
2025,14,Hungarian Grand Prix,Hungary,2025-08-03
2025,15,Dutch Grand Prix,Netherlands,2025-08-31
2025,16,Italian Grand Prix,Italy,2025-09-07
2025,17,Azerbaijan Grand Prix,Azerbaijan,2025-09-21
2025,18,Singapore Grand Prix,Singapore,2025-10-05
2025,19,United States Grand Prix,United States,2025-10-19
2025,20,Mexico City Grand Prix,Mexico,2025-10-26
2025,21,São Paulo Grand Prix,Brazil,2025-11-09
2025,22,Las Vegas Grand Prix,Las Vegas,2025-11-22
2025,23,Qatar Grand Prix,Qatar,2025-11-30
2025,24,Abu Dhabi Grand Prix,Abu Dhabi,2025-12-07
